type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2023-04-12 10:00:00,2023-04-12 18:00:00,2014.69,2010.76,-4.15,-6.15,9.11,0,Signal Exit,72
Long,False,1.0,2023-04-13 02:00:00,2023-04-13 14:00:00,2011.5,2015.31,3.59,-0.92,9.37,0,Signal Exit,73
Long,False,1.0,2023-04-13 18:00:00,2023-04-14 02:00:00,2026.59,2043.71,16.4,-1.58,11.09,24,Signal Exit,74
Long,False,1.0,2023-04-14 10:00:00,2023-04-14 14:00:00,2045.83,2042.76,-3.29,-6.31,11.26,0,Signal Exit,75
Long,False,1.0,2023-04-21 02:00:00,2023-04-21 06:00:00,2006.78,2003.94,-3.06,-4.57,10.36,0,Signal Exit,76
Long,False,1.0,2023-04-25 10:00:00,2023-04-25 14:00:00,1996.96,1995.42,-1.76,-6.18,10.56,0,Signal Exit,77
Long,False,1.0,2023-04-26 02:00:00,2023-04-26 06:00:00,1999.1,1996.66,-2.66,-4.75,10.4,0,Signal Exit,78
Long,False,1.0,2023-04-26 10:00:00,2023-04-26 14:00:00,1998.87,1996.11,-2.98,-5.8,9.94,0,Signal Exit,79
Long,False,1.0,2023-04-26 18:00:00,2023-04-27 02:00:00,1998.82,1988.33,-11.21,-15.52,11.53,24,Signal Exit,80
Long,False,1.0,2023-04-27 10:00:00,2023-04-27 18:00:00,1992.6,1996.92,4.1,-0.57,10.78,0,Signal Exit,81
Long,False,1.0,2023-04-28 10:00:00,2023-04-28 14:00:00,1990.41,1984.69,-5.94,-7.0,10.55,0,Signal Exit,82
Long,False,1.0,2023-04-29 02:00:00,2023-05-01 06:00:00,1990.64,1991.03,-0.83,-3.16,10.53,48,Signal Exit,83
Long,False,1.0,2023-05-01 22:00:00,2023-05-02 02:00:00,1997.21,1982.17,-15.76,-17.35,11.48,24,Signal Exit,84
Long,True,1.4999999999999998,2023-05-03 06:00:00,2023-05-03 14:00:00,2016.45,2014.87,-2.7,-3.51,9.9,0,Signal Exit,85
Long,False,1.0,2023-05-03 02:00:00,2023-05-03 14:00:00,2012.26,2014.87,2.39,-1.01,9.9,0,Signal Exit,86
Long,False,1.0,2023-05-03 18:00:00,2023-05-03 22:00:00,2016.95,2013.65,-3.52,-10.07,10.04,0,Signal Exit,87
Long,False,1.0,2023-05-04 02:00:00,2023-05-04 14:00:00,2022.82,2042.79,19.75,-5.82,12.69,0,Signal Exit,88
Long,True,1.4000000000000001,2023-05-04 06:00:00,2023-05-04 14:00:00,2044.73,2042.79,-3.02,-9.11,12.69,0,Signal Exit,89
Long,False,1.0,2023-05-04 22:00:00,2023-05-05 14:00:00,2044.21,2045.92,0.99,-1.29,12.66,24,Signal Exit,90
Long,True,1.0,2023-05-05 02:00:00,2023-05-05 14:00:00,2046.16,2045.92,-0.46,-1.22,12.66,0,Signal Exit,91
Long,False,1.0,2023-05-06 02:00:00,2023-05-09 02:00:00,2015.49,2023.83,6.62,-2.04,11.06,72,Signal Exit,92
Long,False,1.0,2023-05-09 14:00:00,2023-05-10 06:00:00,2026.16,2033.87,6.99,-4.77,7.56,24,Signal Exit,93
Long,True,1.5999999999999999,2023-05-09 18:00:00,2023-05-10 06:00:00,2028.18,2033.87,7.95,-8.42,7.56,24,Signal Exit,94
Long,False,1.0,2023-05-10 22:00:00,2023-05-11 02:00:00,2038.08,2030.86,-7.94,-16.61,8.7,24,Signal Exit,95
Long,False,1.0,2023-05-11 10:00:00,2023-05-11 14:00:00,2033.45,2032.14,-1.53,-3.45,8.46,0,Signal Exit,96
